home, away, home_odds, away_odds
Charlotte Hornets,Washington Wizards,1.48,2.73
Orlando Magic,Dallas Mavericks,1.34,3.42
Miami Heat,Cleveland Cavaliers,1.25,4.15
Chicago Bulls,Detroit Pistons,2.38,1.61
Memphis Grizzlies,Utah Jazz,2.65,1.5
Houston Rockets,Philadelphia 76ers,1.34,3.4
New Orleans Pelicans,Toronto Raptors,3.32,1.35
Golden State Warriors,Denver Nuggets,1.39,3.35
Los Angeles Clippers,Oklahoma City Thunder,1.74,2.15
